age,salary,experience_years,working_hours_per_week,performance_score,projects_completed,overtime_hours,distance_from_home_km,training_hours,absent_days,gender,education_level,job_role,department,city,company_type,work_mode,marital_status,has_certifications,promotion,job_satisfaction
56.0,7250.0,16.0,46.0,4.11,15.0,7.0,29.1,160.0,15.0,Male,Master,Data Scientist,Finance,Tanta,Startup,Onsite,Married,0.0,0,
46.0,18372.0,9.0,41.0,2.6,29.0,19.0,,58.0,9.0,Female,Bachelor,,Operations,Tanta,SME,Remote,Married,0.0,0,Medium
32.0,20279.0,11.0,37.0,3.66,33.0,21.0,26.0,67.0,28.0,Female,Master,Data Scientist,Operations,Mansoura,SME,Onsite,Married,0.0,0,High
60.0,33193.0,18.0,24.0,2.58,4.0,27.0,18.8,48.0,13.0,Female,High School,HR,Operations,Alexandria,Enterprise,Remote,Single,1.0,0,Medium
,29868.0,39.0,,3.29,,,4.4,14.0,13.0,Male,PhD,HR,Operations,Mansoura,Startup,Hybrid,Married,1.0,0,Low
38.0,31475.0,22.0,,4.96,32.0,23.0,2.1,130.0,23.0,Female,Master,,,Alexandria,SME,Remote,Married,1.0,1,Medium
56.0,5433.0,39.0,26.0,3.14,4.0,3.0,23.5,194.0,13.0,Male,PhD,Data Scientist,HR,Cairo,Startup,Onsite,,0.0,0,Medium
36.0,13998.0,9.0,45.0,4.95,39.0,0.0,10.9,,12.0,Female,Bachelor,Sales,IT,,Enterprise,Onsite,Single,1.0,1,High
40.0,34133.0,9.0,58.0,3.99,41.0,1.0,47.0,138.0,1.0,,Master,Engineer,IT,Giza,Enterprise,Remote,Married,1.0,1,Medium
28.0,37069.0,9.0,34.0,1.48,2.0,3.0,32.4,74.0,19.0,Female,High School,HR,Finance,Tanta,SME,Onsite,Single,0.0,0,Low
28.0,9858.0,,52.0,4.18,37.0,8.0,29.7,182.0,22.0,Female,Bachelor,HR,Marketing,Aswan,Startup,Onsite,Single,0.0,0,Medium
41.0,11950.0,29.0,22.0,1.65,12.0,,20.9,7.0,1.0,Female,PhD,Engineer,Operations,Mansoura,Enterprise,Onsite,Single,0.0,0,Medium
53.0,11938.0,3.0,21.0,3.13,7.0,20.0,17.1,36.0,17.0,Female,Bachelor,Designer,Operations,Alexandria,SME,Hybrid,Single,1.0,0,Medium
57.0,28168.0,0.0,36.0,3.45,29.0,,9.8,,,Male,Bachelor,Manager,IT,Alexandria,SME,Hybrid,Single,1.0,0,Medium
41.0,35099.0,,20.0,,,28.0,3.9,19.0,25.0,Male,High School,Engineer,Operations,Mansoura,Enterprise,Remote,Married,0.0,0,High
20.0,8644.0,4.0,,1.84,4.0,4.0,32.1,114.0,3.0,Female,High School,Sales,Marketing,Tanta,,Hybrid,Married,0.0,0,Medium
39.0,12260.0,29.0,36.0,4.5,37.0,10.0,39.2,21.0,24.0,Male,Master,Sales,IT,Giza,SME,Hybrid,Married,0.0,0,
19.0,39075.0,25.0,21.0,4.74,30.0,10.0,43.0,57.0,,Female,High School,Sales,IT,Mansoura,Enterprise,Remote,Married,0.0,0,
41.0,19488.0,39.0,52.0,1.36,1.0,,36.5,173.0,27.0,Female,Master,Data Scientist,IT,Aswan,Enterprise,Onsite,Single,1.0,0,Low
61.0,3395.0,33.0,,4.54,6.0,14.0,45.0,111.0,3.0,Female,PhD,Manager,IT,Giza,Enterprise,Hybrid,Single,0.0,1,Low
47.0,13845.0,1.0,,,15.0,0.0,49.2,,12.0,Male,Bachelor,HR,Finance,Tanta,Startup,Remote,Married,1.0,0,High
